pH, temp, EC
1.42,22.69,0.00
1.38,22.69,0.00
1.54,22.69,0.00
1.46,22.69,0.00
1.54,22.69,0.00
1.50,22.69,0.00
1.66,22.69,0.00
1.46,22.69,0.00
1.58,22.69,0.00
1.50,22.69,0.00
1.50,22.69,0.00
1.58,22.69,0.00
1.54,22.69,102.00
1.42,22.69,0.00
1.74,22.69,0.00
1.18,22.69,0.00
1.54,22.69,68.00
1.54,22.69,0.00
1.38,22.69,0.00
1.58,22.69,0.00
1.46,22.69,0.00
1.34,22.69,0.00
1.62,22.69,0.00
1.58,22.69,0.00
1.34,22.69,34.00
1.46,22.69,0.00
1.62,22.69,0.00
1.50,22.69,0.00
1.42,22.69,0.00
1.34,22.69,0.00
1.50,22.69,0.00
1.38,22.69,0.00
1.50,22.62,0.00
1.26,22.69,0.00
1.58,22.62,0.00
1.46,22.69,0.00
1.34,22.69,0.00
1.54,22.69,0.00
1.50,22.62,0.00
1.46,22.69,0.00
1.50,22.69,0.00
1.50,22.69,0.00
1.38,22.62,0.00
1.30,22.69,0.00
1.82,22.69,0.00
1.58,22.62,0.00
1.50,22.62,0.00
1.50,22.69,0.00
1.50,22.62,0.00
1.22,22.62,0.00
1.42,22.62,34.00
1.58,22.62,34.00
1.46,22.69,0.00
1.46,22.69,0.00
1.38,22.69,0.00
1.50,22.62,0.00
1.34,22.69,0.00
1.58,22.62,0.00
1.38,22.62,0.00
1.42,22.69,0.00
1.26,22.62,0.00
1.38,22.62,0.00
1.62,22.62,0.00
1.46,22.62,0.00
1.14,22.62,0.00
1.30,22.62,0.00
1.14,22.62,0.00
1.38,22.62,0.00
1.54,22.62,0.00
1.30,22.62,0.00
1.22,22.62,0.00
1.38,22.62,0.00
1.34,22.62,0.00
1.46,22.62,0.00
1.50,22.62,0.00
1.26,22.62,0.00
1.50,22.62,0.00
1.42,22.62,0.00
1.30,22.62,0.00
1.30,22.62,0.00
1.42,22.62,0.00
1.46,22.62,0.00
1.38,22.62,0.00
1.22,22.62,0.00
1.50,22.62,0.00
1.58,22.62,0.00
1.42,22.62,0.00
1.38,22.56,34.00
1.42,22.62,0.00
1.42,22.62,0.00
1.38,22.56,0.00
1.38,22.56,0.00
1.38,22.56,68.00
1.30,22.62,0.00
1.50,22.56,0.00
1.54,22.56,34.00
1.38,22.56,0.00
1.70,22.56,0.00
1.42,22.56,0.00
1.22,22.56,34.00
1.14,22.56,68.00
1.18,22.62,0.00
1.34,22.62,0.00
1.30,22.62,0.00
1.50,22.56,102.00
1.42,22.56,0.00
1.30,22.56,0.00
1.34,22.56,0.00
1.34,22.56,0.00
1.34,22.56,0.00
1.34,22.62,34.00
1.54,22.56,102.00
1.26,22.56,0.00
1.42,22.56,0.00
1.10,22.56,34.00
1.50,22.56,68.00
1.22,22.62,102.00
1.34,22.56,0.00
1.46,22.56,0.00
1.38,22.56,0.00
1.38,22.56,0.00
1.30,22.56,0.00
1.30,22.56,0.00
1.38,22.56,0.00
1.34,22.56,0.00
1.30,22.56,0.00
1.42,22.56,0.00
1.26,22.56,0.00
1.26,22.56,0.00
1.38,22.56,0.00
1.34,22.56,34.00
1.26,22.56,0.00
1.30,22.56,0.00
1.50,22.56,0.00
1.46,22.50,68.00
1.42,22.56,0.00
1.14,22.50,34.00
1.14,22.56,0.00
1.46,22.56,0.00
1.18,22.50,0.00
1.46,22.50,0.00
1.34,22.50,34.00
1.38,22.50,102.00
1.22,22.56,0.00
1.18,22.50,0.00
1.26,22.50,0.00
1.42,22.50,0.00
1.34,22.50,0.00
1.46,22.50,0.00
1.22,22.50,34.00
1.46,22.50,0.00
1.42,22.50,102.00
1.30,22.50,0.00
1.46,22.50,0.00
1.46,22.50,0.00
1.34,22.50,68.00
1.30,22.50,102.00
1.34,22.50,0.00
1.30,22.50,68.00
1.34,22.50,34.00
1.46,22.50,0.00
1.34,22.50,68.00
1.18,22.50,0.00
1.30,22.50,34.00
1.46,22.50,0.00
1.42,22.50,34.00
1.26,22.50,0.00
1.38,22.50,0.00
1.14,22.50,0.00
1.30,22.50,68.00
1.30,22.50,0.00
1.30,22.50,0.00
1.14,22.50,68.00
1.26,22.50,34.00
1.18,22.50,0.00
1.06,22.50,34.00
1.50,22.50,0.00
1.38,22.50,0.00
1.30,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.26,22.50,0.00
1.26,22.50,0.00
1.38,22.50,0.00
1.26,22.50,0.00
1.46,22.50,0.00
1.34,22.50,0.00
1.26,22.50,0.00
1.42,22.50,0.00
1.26,22.50,102.00
1.18,22.50,0.00
1.30,22.50,0.00
1.26,22.50,0.00
1.34,22.50,0.00
1.10,22.50,0.00
1.26,22.50,0.00
1.22,22.50,0.00
1.18,22.50,0.00
1.46,22.50,0.00
1.22,22.50,34.00
1.26,22.50,0.00
1.30,22.50,0.00
1.38,22.50,0.00
1.26,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.10,22.50,0.00
1.26,22.50,0.00
1.18,22.50,34.00
1.30,22.50,0.00
1.30,22.50,0.00
1.14,22.50,0.00
1.38,22.50,34.00
1.30,22.50,0.00
1.26,22.50,0.00
1.34,22.50,0.00
1.14,22.50,34.00
1.22,22.50,0.00
1.18,22.50,0.00
1.42,22.50,0.00
1.42,22.50,0.00
1.22,22.50,0.00
1.30,22.50,0.00
1.30,22.50,0.00
1.34,22.50,34.00
1.26,22.50,0.00
1.42,22.50,34.00
1.22,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.14,22.50,0.00
1.34,22.50,34.00
1.38,22.50,0.00
1.02,22.50,0.00
1.30,22.50,0.00
1.26,22.50,0.00
1.34,22.50,0.00
1.34,22.50,68.00
1.30,22.50,0.00
1.38,22.50,0.00
1.18,22.50,0.00
1.38,22.50,0.00
1.18,22.50,0.00
1.02,22.50,0.00
1.30,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.34,22.50,0.00
1.46,22.50,0.00
1.38,22.44,102.00
1.22,22.44,102.00
1.14,22.44,0.00
1.46,22.50,0.00
1.14,22.44,0.00
1.18,22.44,0.00
1.38,22.44,0.00
1.06,22.44,0.00
1.18,22.44,34.00
1.26,22.44,0.00
1.22,22.44,68.00
1.14,22.44,0.00
1.26,22.44,0.00
1.30,22.44,0.00
1.02,22.44,0.00
1.14,22.44,0.00
1.30,22.44,0.00
1.10,22.44,102.00
1.22,22.44,34.00
1.18,22.44,0.00
1.42,22.44,0.00
1.26,22.44,34.00
1.14,22.44,0.00
1.38,22.44,0.00
1.22,22.44,0.00
1.30,22.44,0.00
1.30,22.44,0.00
1.42,22.44,0.00
1.14,22.44,0.00
1.38,22.44,0.00
1.06,22.44,0.00
1.22,22.44,34.00
1.26,22.44,102.00
1.46,22.44,0.00
1.42,22.44,68.00
1.02,22.44,0.00
1.26,22.44,0.00
1.18,22.44,0.00
1.14,22.44,0.00
1.06,22.44,0.00
1.06,22.44,0.00
1.50,22.44,0.00
1.26,22.44,102.00
1.38,22.44,0.00
1.22,22.44,0.00
1.34,22.44,0.00
1.26,22.44,0.00
1.26,22.44,0.00
1.18,22.44,34.00
1.22,22.44,0.00
1.30,22.44,0.00
1.26,22.44,0.00
1.10,22.44,0.00
1.18,22.44,0.00
1.10,22.44,0.00
1.26,22.44,0.00
1.42,22.44,34.00
1.10,22.44,0.00
1.42,22.44,0.00
1.18,22.44,68.00
1.26,22.44,102.00
1.34,22.44,34.00
1.14,22.44,0.00
1.30,22.44,0.00
1.14,22.44,0.00
1.18,22.44,0.00
1.26,22.44,0.00
1.06,22.44,0.00
1.26,22.44,0.00
1.30,22.44,0.00
1.34,22.50,34.00
1.42,22.44,34.00
1.34,22.44,0.00
1.18,22.44,0.00
1.18,22.44,34.00
1.14,22.44,0.00
1.26,22.44,0.00
1.10,22.44,34.00
1.14,22.44,0.00
1.18,22.44,0.00
1.10,22.44,0.00
1.10,22.44,0.00
1.42,22.37,0.00
0.98,22.31,0.00
1.22,22.25,0.00
1.34,22.25,0.00
1.34,22.25,0.00
1.22,22.31,0.00
1.18,22.31,0.00
1.30,22.31,0.00
1.50,22.31,0.00
0.98,22.37,68.00
1.22,22.37,0.00
1.06,22.37,0.00
1.06,22.37,0.00
1.26,22.37,0.00
1.10,22.37,0.00
1.18,22.37,34.00
1.34,22.37,0.00
1.26,22.37,0.00
1.30,22.37,0.00
1.06,22.37,0.00
1.06,22.44,0.00
1.34,22.44,0.00
1.06,22.44,0.00
1.50,22.44,0.00
1.18,22.44,0.00
1.02,22.44,0.00
1.34,22.44,68.00
1.18,22.44,0.00
1.30,22.44,0.00
1.06,22.44,0.00
1.06,22.44,34.00
1.18,22.44,0.00
1.22,22.44,0.00
1.18,22.44,0.00
1.26,22.44,0.00
1.14,22.44,0.00
1.82,22.44,0.00
1.62,22.44,0.00
2.38,22.44,0.00
2.22,22.44,34.00
2.34,22.44,0.00
2.38,22.44,0.00
2.46,22.44,0.00
2.74,22.44,0.00
1.90,22.44,0.00
1.18,22.44,0.00
1.10,22.44,0.00
0.94,22.44,0.00
1.26,22.44,0.00
1.10,22.44,0.00
1.06,22.44,0.00
1.38,22.44,0.00
1.14,22.44,0.00
1.14,22.44,68.00
1.26,22.44,0.00
1.06,22.44,0.00
1.38,22.44,0.00
1.22,22.44,0.00
0.94,22.44,0.00
1.06,22.44,0.00
0.90,22.44,34.00
1.06,22.44,34.00
0.94,22.44,0.00
0.98,22.44,0.00
2.06,22.50,0.00
2.18,22.44,0.00
2.30,22.44,0.00
2.18,22.37,0.00
2.10,22.37,0.00
2.26,22.37,0.00
2.38,22.37,0.00
2.18,22.31,0.00
2.50,22.31,68.00
2.50,22.25,0.00
2.10,22.31,34.00
2.46,22.25,0.00
2.38,22.25,0.00
2.34,22.25,0.00
2.50,22.25,0.00
2.42,22.25,0.00
2.30,22.25,0.00
2.54,22.25,0.00
2.38,22.19,0.00
2.34,22.19,0.00
2.42,22.19,0.00
2.46,22.19,0.00
2.54,22.19,68.00
2.42,22.19,0.00
2.50,22.19,0.00
2.50,22.19,0.00
2.22,22.19,34.00
2.46,22.19,0.00
2.46,22.19,0.00
2.46,22.19,34.00
2.42,22.19,0.00
2.62,22.19,0.00
2.90,22.19,0.00
2.94,22.19,0.00
2.82,22.19,0.00
2.98,22.19,34.00
3.10,22.19,0.00
3.18,22.19,0.00
3.10,22.19,0.00
2.98,22.19,0.00
3.26,22.19,0.00
3.02,22.19,34.00
3.10,22.19,0.00
3.14,22.19,0.00
2.94,22.19,0.00
3.10,22.19,0.00
2.98,22.19,0.00
3.18,22.19,0.00
3.02,22.19,68.00
3.14,22.19,0.00
2.86,22.19,68.00
3.22,22.19,0.00
3.22,22.19,0.00
3.22,22.19,0.00
3.22,22.19,0.00
3.22,22.19,0.00
3.10,22.19,0.00
3.18,22.19,0.00
3.10,22.19,0.00
3.34,22.19,34.00
3.10,22.19,0.00
3.38,22.19,0.00
3.62,22.12,0.00
3.18,22.19,0.00
3.30,22.19,0.00
3.34,22.19,0.00
3.18,22.19,0.00
3.22,22.19,0.00
3.22,22.19,0.00
3.38,22.19,0.00
3.26,22.19,0.00
3.18,22.19,0.00
3.22,22.19,0.00
3.06,22.19,0.00
3.18,22.12,0.00
3.30,22.19,0.00
3.10,22.19,0.00
2.86,22.19,0.00
2.74,22.19,0.00
3.34,22.19,0.00
3.83,22.19,0.00
3.95,22.19,0.00
4.43,22.12,68.00
4.87,22.06,0.00
5.03,22.06,0.00
5.35,22.06,68.00
5.35,22.00,0.00
5.35,22.00,0.00
5.47,22.00,0.00
5.35,22.00,0.00
5.43,22.00,0.00
5.39,22.00,0.00
5.47,22.00,0.00
5.43,21.94,0.00
5.35,21.94,34.00
5.39,21.94,0.00
5.51,21.94,0.00
5.51,21.94,68.00
5.55,21.87,0.00
5.51,21.94,34.00
5.39,21.94,0.00
5.47,21.94,0.00
5.63,21.87,0.00
5.59,21.87,0.00
5.51,21.94,0.00
5.67,21.94,34.00
5.59,21.94,0.00
5.67,21.94,0.00
5.67,21.94,0.00
5.71,21.94,0.00
5.55,21.94,0.00
5.51,21.94,0.00
5.63,21.94,0.00
5.63,21.94,0.00
5.55,21.94,0.00
5.67,21.94,0.00
5.59,22.00,0.00
5.63,21.94,0.00
5.51,22.00,0.00
5.55,22.00,0.00
5.55,22.00,0.00
5.59,22.00,0.00
5.59,22.00,34.00
5.59,22.00,0.00
5.51,22.00,0.00
5.67,22.00,0.00
5.59,22.00,0.00
5.67,22.00,0.00
5.71,22.00,0.00
5.51,22.06,0.00
5.51,22.00,0.00
5.59,22.06,0.00
5.39,22.06,0.00
5.51,22.06,0.00
5.67,22.06,0.00
5.63,22.06,34.00
5.63,22.06,68.00
5.67,22.06,0.00
5.59,22.06,0.00
5.55,22.06,0.00
5.47,22.12,0.00
5.63,22.06,34.00
5.59,22.12,34.00
5.63,22.06,0.00
5.79,22.06,0.00
5.59,22.12,0.00
5.67,22.12,0.00
5.59,22.12,0.00
5.63,22.12,0.00
5.83,22.12,0.00
5.71,22.12,0.00
5.63,22.12,0.00
5.59,22.12,0.00
5.59,22.12,34.00
5.71,22.12,0.00
5.59,22.12,34.00
5.63,22.12,0.00
5.79,22.12,68.00
5.79,22.12,0.00
5.67,22.12,0.00
5.79,22.12,0.00
5.55,22.12,0.00
5.71,22.12,0.00
5.67,22.12,34.00
5.63,22.12,68.00
5.67,22.12,68.00
5.59,22.12,272.00
5.55,22.12,0.00
5.67,22.12,34.00
5.67,22.12,0.00
5.75,22.12,0.00
5.75,22.12,0.00
5.71,22.19,34.00
5.75,22.19,0.00
5.71,22.19,0.00
5.75,22.19,0.00
5.71,22.19,0.00
5.71,22.19,0.00
5.63,22.19,68.00
5.79,22.19,0.00
5.75,22.19,34.00
5.79,22.19,0.00
5.75,22.19,0.00
5.79,22.19,102.00
5.71,22.19,0.00
5.83,22.19,0.00
5.71,22.19,0.00
5.75,22.19,68.00
5.71,22.19,34.00
5.75,22.19,0.00
5.83,22.19,0.00
5.75,22.19,0.00
5.71,22.19,0.00
5.79,22.19,0.00
5.95,22.19,0.00
5.83,22.25,0.00
5.83,22.19,34.00
5.71,22.19,34.00
5.71,22.19,0.00
5.75,22.25,0.00
5.79,22.25,0.00
5.79,22.19,0.00
5.79,22.25,0.00
5.75,22.25,0.00
5.71,22.25,0.00
5.87,22.25,34.00
5.75,22.25,34.00
5.87,22.25,0.00
5.67,22.25,34.00
5.75,22.25,34.00
5.71,22.25,68.00
5.71,22.25,0.00
5.71,22.25,0.00
5.71,22.25,0.00
5.55,22.25,34.00
5.87,22.25,0.00
5.71,22.25,0.00
5.71,22.25,34.00
5.75,22.25,0.00
5.75,22.31,0.00
5.75,22.25,0.00
5.87,22.31,0.00
5.75,22.31,0.00
5.75,22.25,34.00
5.91,22.31,0.00
6.07,22.25,0.00
5.87,22.25,0.00
5.91,22.25,0.00
6.07,22.25,0.00
5.95,22.31,68.00
5.91,22.25,0.00
6.07,22.25,0.00
